date,open,close,high,low,volume,symbol
20240527,0.981,0.986,0.987,0.971,1037098,159597.SZ
20240528,0.982,0.974,0.985,0.973,205619,159597.SZ
20240529,0.972,0.976,0.987,0.972,246532,159597.SZ
20240530,0.975,0.978,0.98,0.971,132354,159597.SZ
20240531,0.977,0.973,0.986,0.972,177423,159597.SZ
20240603,0.972,0.975,0.983,0.97,184430,159597.SZ
20240604,0.976,0.992,0.995,0.976,421380,159597.SZ
20240605,0.989,0.99,1.001,0.989,313066,159597.SZ
20240606,0.99,0.982,0.996,0.98,118174,159597.SZ
20240607,0.984,0.963,0.984,0.958,91478,159597.SZ
20240611,0.965,0.969,0.973,0.955,75864,159597.SZ
20240612,0.971,0.966,0.971,0.965,36249,159597.SZ
20240613,0.965,0.969,0.978,0.965,72114,159597.SZ
20240614,0.968,0.978,0.98,0.961,91999,159597.SZ
20240617,0.977,0.984,0.988,0.976,62271,159597.SZ
20240618,0.983,0.988,0.998,0.983,106735,159597.SZ
20240619,0.991,0.978,0.992,0.977,77331,159597.SZ
20240620,0.979,0.964,0.982,0.964,56876,159597.SZ
20240621,0.963,0.961,0.963,0.951,50981,159597.SZ
20240624,0.957,0.946,0.959,0.946,50072,159597.SZ
20240625,0.946,0.925,0.946,0.921,46123,159597.SZ
20240626,0.925,0.945,0.946,0.925,54561,159597.SZ
20240627,0.944,0.928,0.944,0.928,24969,159597.SZ
20240628,0.927,0.92,0.939,0.915,49179,159597.SZ
20240701,0.922,0.917,0.922,0.902,45336,159597.SZ
20240702,0.917,0.909,0.921,0.909,38309,159597.SZ
20240703,0.909,0.906,0.911,0.899,35571,159597.SZ
20240704,0.909,0.899,0.913,0.899,61955,159597.SZ
20240705,0.899,0.904,0.908,0.89,59717,159597.SZ
20240708,0.902,0.889,0.902,0.885,40699,159597.SZ
20240709,0.884,0.907,0.91,0.883,63553,159597.SZ
20240710,0.903,0.905,0.912,0.9,40870,159597.SZ
20240711,0.909,0.925,0.927,0.909,49103,159597.SZ
20240712,0.925,0.919,0.925,0.915,21638,159597.SZ
20240715,0.915,0.912,0.919,0.911,24116,159597.SZ
20240716,0.916,0.928,0.928,0.912,82956,159597.SZ
20240717,0.922,0.927,0.933,0.922,22846,159597.SZ
20240718,0.923,0.938,0.938,0.918,38080,159597.SZ
20240719,0.938,0.94,0.944,0.932,17922,159597.SZ
20240722,0.944,0.943,0.946,0.937,31388,159597.SZ
20240723,0.943,0.911,0.943,0.911,28845,159597.SZ
20240724,0.915,0.9,0.915,0.899,32505,159597.SZ
20240725,0.897,0.892,0.898,0.891,20671,159597.SZ
20240726,0.892,0.898,0.902,0.892,11669,159597.SZ
20240729,0.898,0.89,0.898,0.888,11900,159597.SZ
20240730,0.887,0.884,0.887,0.881,28155,159597.SZ
20240731,0.884,0.917,0.919,0.884,57187,159597.SZ
20240801,0.913,0.91,0.921,0.906,19635,159597.SZ
20240802,0.908,0.893,0.909,0.893,29322,159597.SZ
20240805,0.891,0.875,0.901,0.875,46924,159597.SZ
20240806,0.879,0.888,0.892,0.879,25591,159597.SZ
20240807,0.888,0.885,0.89,0.883,13509,159597.SZ
20240808,0.888,0.885,0.889,0.871,46723,159597.SZ
20240809,0.882,0.871,0.888,0.871,20982,159597.SZ
20240812,0.875,0.87,0.876,0.867,26878,159597.SZ
20240813,0.866,0.874,0.874,0.865,34107,159597.SZ
20240814,0.87,0.862,0.871,0.862,15243,159597.SZ
20240815,0.862,0.867,0.872,0.861,37963,159597.SZ
20240816,0.866,0.866,0.869,0.865,6921,159597.SZ
20240819,0.868,0.867,0.877,0.865,243828,159597.SZ
20240820,0.868,0.854,0.868,0.853,18029,159597.SZ
20240821,0.854,0.848,0.856,0.848,20870,159597.SZ
20240822,0.85,0.84,0.851,0.839,42955,159597.SZ
20240823,0.843,0.841,0.845,0.836,37749,159597.SZ
20240826,0.845,0.836,0.853,0.835,24750,159597.SZ
